collective_type,array_dim,buffer_size,algo_name,datatype,mean,median,std,min,max,nnodes,n_iter,percentile_10,percentile_25,percentile_75,percentile_90,iqr,standard_error,ci_lower,ci_upper,num_outliers,system,timestamp,test_id,MPI_Op,CUDA,notes,mpi_lib,mpi_lib_version,libswing_version
ALLREDUCE,262144,1048576,RECDOUB-L-UTOFU-0-1,int32,5881957.82,5887774.5,10612.073100126301,5863950,5894439,64x64,100,5865939.1,5868799.0,5889869.0,5891148.1,21070.0,1061.2073100126302,5879877.853672376,5884037.786327625,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-ring,int32,20956277.9,20897705.0,441859.324780689,20341020,23797259,64x64,100,20534148.0,20665696.75,21206171.75,21396729.9,540475.0,44185.932478068906,20869673.472342983,21042882.327657014,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-L-UTOFU-65536-1,int32,686168.44,681364.5,12231.282010591787,677409,746789,64x64,100,679159.0,680172.25,684137.25,703560.0,3965.0,1223.1282010591788,683771.1087259239,688565.771274076,18,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,default-rdbc,int32,789947.71,787354.5,8688.39606647739,781820,829369,64x64,100,784220.0,785439.25,790522.5,797695.0,5083.25,868.839606647739,788244.7843709704,791650.6356290295,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,134217728,536870912,default-default,int32,117350615.5,117365605.0,80193.53199361598,117215390,117484610,64x64,10,117237340.1,117315962.25,117392989.0,117416380.1,77026.75,25359.421471341,117300911.03391618,117400319.96608382,0,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,4096,16384,SWING-B_CONT-UTOFU-4096-1,int32,275098.82,200649.5,451701.6260630101,186539,3442059,64x64,100,188323.9,198231.75,206196.75,215539.00000000003,7965.0,45170.162606301004,186565.30129165004,363632.33870834997,10,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,16777216,67108864,default-trix3,int32,15835502.4,15834589.0,11976.164793269822,15819769,15862169,64x64,10,15820579.0,15830592.5,15840044.25,15843773.9,9451.75,3787.1958380252213,15828079.496157471,15842925.30384253,1,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,1,4,default-recursive_doubling,int32,42830.23,42464.5,1702.0112336570958,40140,52729,64x64,100,41110.0,41787.25,43469.0,44524.0,1681.75,170.20112336570958,42496.63579820321,43163.82420179679,4,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,32768,131072,SWING-B_CONT-UTOFU-0-2,int32,642946.09,577194.0,375111.4700707084,570620,3341069,64x64,100,572350.9,575074.75,579820.0,587323.1,4745.25,37511.147007070846,569424.2418661411,716467.9381338588,11,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
ALLREDUCE,1,4,SWING-L-UTOFU-0-1,int32,48592.3,45179.5,7647.4683610547445,42839,78790,64x64,100,43723.1,44079.0,50105.0,55057.100000000006,6026.0,764.7468361054745,47093.39620123327,50091.203798766735,9,fugaku,2025_04_05___14_10_07,0,MPI_SUM,False,,FJMPI,x.x.x,4.0.1
