Timer [== swing_coll_step_utofu (compute bitmaps i)]: 44 us | Start: 1725472008183625 End: 1725472008183669
Timer [== swing_coll_step_utofu (recv + aggregate)]: 3388 us | Start: 1725472008183669 End: 1725472008187057
Timer [== swing_coll_step_utofu (wait isends)]: 9 us | Start: 1725472008187057 End: 1725472008187066
Timer [== swing_coll_step_utofu (profile writing)]: 3 us | Start: 1725472008187066 End: 1725472008187069
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 0 us | Start: 1725472008186811 End: 1725472008186811
Timer [== swing_coll_step_utofu (indexes calc)]: 12 us | Start: 1725472008186811 End: 1725472008186823
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008186823 End: 1725472008186829
Timer [== swing_coll_step_utofu (sends)]: 9 us | Start: 1725472008186829 End: 1725472008186838
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 14 us | Start: 1725472008186838 End: 1725472008186852
Timer [== swing_coll_step_utofu (recv + aggregate)]: 529 us | Start: 1725472008186852 End: 1725472008187381
Timer [== swing_coll_step_utofu (wait isends)]: 339 us | Start: 1725472008187381 End: 1725472008187720
Timer [== swing_coll_step_utofu (profile writing)]: 5 us | Start: 1725472008187720 End: 1725472008187725
Timer [== swing_coll_step_utofu (compute bitmaps 0)]: 1 us | Start: 1725472008181859 End: 1725472008181860
Timer [== swing_coll_step_utofu (indexes calc)]: 10 us | Start: 1725472008181860 End: 1725472008181870
Timer [== swing_coll_step_utofu (misc)]: 6 us | Start: 1725472008181870 End: 1725472008181876
Timer [== swing_coll_step_utofu (sends)]: 10 us | Start: 1725472008181876 End: 1725472008181886
Timer [== swing_coll_step_utofu (compute bitmaps i)]: 12 us | Start: 1725472008181886 End: 1725472008181898
Timer [== swing_coll_step_utofu (recv + aggregate)]: 6024 us | Start: 1725472008181898 End: 1725472008187922
Timer [== swing_coll_step_utofu (wait isends)]: 7 us | Start: 1725472008187922 End: 1725472008187929
Timer [== swing_coll_step_utofu (profile writing)]: 4 us | Start: 1725472008187929 End: 1725472008187933
